u,v,w,x,y
0,95767,72.64,3.477694346046789,20.386633587946978
0,74739,104.52,3.477694346046789,20.386633587946978
0,71939,45.79,3.477694346046789,20.386633587946978
1,70052,35.34,54.444765422026094,45.05654199313468
1,15994,45.56,54.444765422026094,45.05654199313468
1,43796,52.09,54.444765422026094,45.05654199313468
2,91473,60.03,91.32794570856967,64.54603801556303
2,85942,5.0,91.32794570856967,64.54603801556303
2,21782,14.67,91.32794570856967,64.54603801556303
3,26512,58.37,34.082622589664425,75.21380325456376
3,50537,13.63,34.082622589664425,75.21380325456376
3,56841,12.14,34.082622589664425,75.21380325456376
4,44613,16.8,16.653801672009205,84.36751051151671
4,60023,30.03,16.653801672009205,84.36751051151671
4,30099,49.58,16.653801672009205,84.36751051151671
5,15073,29.18,56.007031840058005,2.6977601841310483
5,45451,49.08,56.007031840058005,2.6977601841310483
5,6203,49.1,56.007031840058005,2.6977601841310483
6,60616,79.9,72.75744397354977,67.53610310152331
6,98061,67.71,72.75744397354977,67.53610310152331
6,96342,73.24,72.75744397354977,67.53610310152331
7,16761,97.73,1.9379270657575387,2.1384815645215216
7,89469,55.61,1.9379270657575387,2.1384815645215216
7,85116,92.31,1.9379270657575387,2.1384815645215216
8,63362,87.99,1.7114539922901906,0.8349966608585113
8,88845,35.59,1.7114539922901906,0.8349966608585113
8,26485,105.71,1.7114539922901906,0.8349966608585113
9,98010,54.21,11.106621985811305,84.50531787484336
9,15637,56.12,11.106621985811305,84.50531787484336
9,60979,13.43,11.106621985811305,84.50531787484336
10,17988,13.86,15.17703494055256,76.72450831430224
10,40191,73.05,15.17703494055256,76.72450831430224
10,93961,75.56,15.17703494055256,76.72450831430224
11,43848,77.87,8.826716034667193,87.19404449043563
11,16920,4.71,8.826716034667193,87.19404449043563
11,46922,84.91,8.826716034667193,87.19404449043563
12,8288,65.04,41.98165663428709,8.520203536232863
12,58707,53.57,41.98165663428709,8.520203536232863
12,26175,53.71,41.98165663428709,8.520203536232863
13,71202,22.03,68.33741874197841,45.43069994657151
13,96390,31.48,68.33741874197841,45.43069994657151
13,16635,74.34,68.33741874197841,45.43069994657151
14,2619,58.75,91.93941778628422,75.71574694439161
14,12120,42.88,91.93941778628422,75.71574694439161
14,65299,53.42,91.93941778628422,75.71574694439161
15,54509,50.12,61.021093028964756,14.869368675607554
15,50587,63.73,61.021093028964756,14.869368675607554
15,66780,59.53,61.021093028964756,14.869368675607554
16,57512,94.13,34.02022229044248,3.856550380414714
16,94180,57.81,34.02022229044248,3.856550380414714
16,96259,36.8,34.02022229044248,3.856550380414714
17,73084,32.09,54.852856770722546,52.96295955042826
17,80174,25.16,54.852856770722546,52.96295955042826
17,25947,55.13,54.852856770722546,52.96295955042826
18,8618,60.69,78.31591602346292,86.07543284037223
18,4839,21.98,78.31591602346292,86.07543284037223
18,81530,58.07,78.31591602346292,86.07543284037223
19,89860,51.06,89.97369137083801,26.034501790554344
19,62870,62.27,89.97369137083801,26.034501790554344
19,67964,40.95,89.97369137083801,26.034501790554344
20,67643,51.18,21.387050129245722,65.42759567885817
20,23557,38.69,21.387050129245722,65.42759567885817
20,96122,73.16,21.387050129245722,65.42759567885817
21,99840,53.67,19.66334981035558,91.66449360766738
21,211,49.24,19.66334981035558,91.66449360766738
21,67436,95.54,19.66334981035558,91.66449360766738
22,68449,10.71,69.84226359202879,36.317052547334384
22,87922,5.75,69.84226359202879,36.317052547334384
22,20724,12.29,69.84226359202879,36.317052547334384
23,682,58.25,37.10121231661042,72.93150935152823
23,19300,58.16,37.10121231661042,72.93150935152823
23,68231,55.14,37.10121231661042,72.93150935152823
24,17803,35.83,98.40067274994153,82.81094591100752
24,92163,107.32,98.40067274994153,82.81094591100752
24,64793,37.24,98.40067274994153,82.81094591100752
25,87405,27.15,6.536938720948071,8.181655203701709
25,38157,101.61,6.536938720948071,8.181655203701709
25,50724,81.59,6.536938720948071,8.181655203701709
26,51150,39.45,61.27302943774239,94.85829927995074
26,65473,65.33,61.27302943774239,94.85829927995074
26,54332,41.01,61.27302943774239,94.85829927995074
27,39225,92.52,0.008913453118308823,14.750078941739043
27,16062,18.34,0.008913453118308823,14.750078941739043
27,64986,69.45,0.008913453118308823,14.750078941739043
28,17623,46.49,31.71093299459947,86.18086616919378
28,86831,54.94,31.71093299459947,86.18086616919378
28,12417,14.06,31.71093299459947,86.18086616919378
29,48912,64.58,9.84282282555472,80.91667748482901
29,34506,76.65,9.84282282555472,80.91667748482901
29,82519,105.18,9.84282282555472,80.91667748482901
30,26678,76.26,66.07639364973252,31.938296742600304
30,94952,50.16,66.07639364973252,31.938296742600304
30,54060,44.58,66.07639364973252,31.938296742600304
31,9267,76.37,60.576855035360275,36.56152590845419
31,43761,27.52,60.576855035360275,36.56152590845419
31,26774,32.58,60.576855035360275,36.56152590845419
32,60597,107.24,4.223554204811064,98.19883384729452
32,980,105.91,4.223554204811064,98.19883384729452
32,94326,109.54,4.223554204811064,98.19883384729452
33,12419,45.52,68.9383888665838,92.47856002324124
33,49635,21.94,68.9383888665838,92.47856002324124
33,73175,86.51,68.9383888665838,92.47856002324124
34,42653,5.91,58.13568295219572,7.203162183870293
34,17336,47.85,58.13568295219572,7.203162183870293
34,29785,21.28,58.13568295219572,7.203162183870293
35,35739,74.79,59.57797307526662,79.861414856007
35,2050,22.15,59.57797307526662,79.861414856007
35,68102,39.17,59.57797307526662,79.861414856007
36,18611,57.98,97.83498289646731,69.68014339660557
36,58261,98.8,97.83498289646731,69.68014339660557
36,73562,51.06,97.83498289646731,69.68014339660557
37,75795,25.12,4.046376037079568,42.27182464035458
37,51969,46.71,4.046376037079568,42.27182464035458
37,29184,33.98,4.046376037079568,42.27182464035458
38,57375,17.03,81.23257600236542,2.311723618967587
38,85378,92.16,81.23257600236542,2.311723618967587
38,2466,43.41,81.23257600236542,2.311723618967587
39,60570,13.73,56.07377678237889,19.472151640550162
39,16800,50.04,56.07377678237889,19.472151640550162
39,7564,31.36,56.07377678237889,19.472151640550162
40,45738,47.75,1.2971808131133522,87.68905798653292
40,93397,85.79,1.2971808131133522,87.68905798653292
40,31858,45.02,1.2971808131133522,87.68905798653292
41,37520,26.22,79.59567819768772,71.11383352327715
41,28724,14.63,79.59567819768772,71.11383352327715
41,50752,46.45,79.59567819768772,71.11383352327715
42,92015,77.1,89.00852319834881,40.17614506418131
42,2353,85.49,89.00852319834881,40.17614506418131
